trial,block,stimId1,stimID2,category1,category2,response,rt,condition,id,phase
6,0,C1450,B550,Gamma,Beta,0.0,3843,2,12192,similarity
7,0,C1450,B850,Gamma,Beta,0.0,5025,2,12192,similarity
8,0,C1450,B650,Gamma,Beta,0.0,1943,2,12192,similarity
9,0,C1450,B750,Gamma,Beta,0.0,1391,2,12192,similarity
10,0,C1450,C1250,Gamma,Gamma,6.0,3358,2,12192,similarity
11,0,C1450,A250,Gamma,Alpha,0.0,2503,2,12192,similarity
12,0,C1450,A450,Gamma,Alpha,0.0,1574,2,12192,similarity
13,0,C1450,A350,Gamma,Alpha,0.0,5474,2,12192,similarity
14,0,C1450,A50,Gamma,Alpha,0.0,805,2,12192,similarity
2,1,A150,C1050,Alpha,Gamma,0.0,3588,2,12192,similarity
3,1,A150,C1150,Alpha,Gamma,0.0,4467,2,12192,similarity
4,1,A150,B950,Alpha, Beta,0.0,1030,2,12192,similarity
5,1,A150,C1350,Alpha,Gamma,0.0,988,2,12192,similarity
6,1,A150,B550,Alpha,Beta,6.0,4091,2,12192,similarity
7,1,A150,B850,Alpha,Beta,0.0,4604,2,12192,similarity
8,1,A150,B650,Alpha,Beta,0.0,2195,2,12192,similarity
9,1,A150,B750,Alpha,Beta,0.0,1026,2,12192,similarity
10,1,A150,C1250,Alpha,Gamma,0.0,551,2,12192,similarity
11,1,A150,A250,Alpha,Alpha,6.0,2288,2,12192,similarity
12,1,A150,A450,Alpha,Alpha,6.0,2709,2,12192,similarity
13,1,A150,A350,Alpha,Alpha,6.0,1070,2,12192,similarity
14,1,A150,A50,Alpha,Alpha,6.0,2699,2,12192,similarity
3,2,C1050,C1150,Gamma,Gamma,6.0,26098,2,12192,similarity
4,2,C1050,B950,Gamma, Beta,6.0,3433,2,12192,similarity
5,2,C1050,C1350,Gamma,Gamma,0.0,12344,2,12192,similarity
6,2,C1050,B550,Gamma,Beta,6.0,4947,2,12192,similarity
7,2,C1050,B850,Gamma,Beta,6.0,1549,2,12192,similarity
8,2,C1050,B650,Gamma,Beta,6.0,1854,2,12192,similarity
9,2,C1050,B750,Gamma,Beta,6.0,1244,2,12192,similarity
10,2,C1050,C1250,Gamma,Gamma,0.0,13760,2,12192,similarity
11,2,C1050,A250,Gamma,Alpha,0.0,8381,2,12192,similarity
12,2,C1050,A450,Gamma,Alpha,0.0,5266,2,12192,similarity
13,2,C1050,A350,Gamma,Alpha,0.0,2790,2,12192,similarity
14,2,C1050,A50,Gamma,Alpha,0.0,2317,2,12192,similarity
4,3,C1150,B950,Gamma, Beta,0.0,5783,2,12192,similarity
5,3,C1150,C1350,Gamma,Gamma,6.0,4110,2,12192,similarity
6,3,C1150,B550,Gamma,Beta,0.0,15206,2,12192,similarity
7,3,C1150,B850,Gamma,Beta,0.0,5397,2,12192,similarity
8,3,C1150,B650,Gamma,Beta,0.0,7350,2,12192,similarity
9,3,C1150,B750,Gamma,Beta,0.0,2327,2,12192,similarity
10,3,C1150,C1250,Gamma,Gamma,6.0,6495,2,12192,similarity
11,3,C1150,A250,Gamma,Alpha,0.0,3945,2,12192,similarity
12,3,C1150,A450,Gamma,Alpha,0.0,6665,2,12192,similarity
13,3,C1150,A350,Gamma,Alpha,0.0,1820,2,12192,similarity
14,3,C1150,A50,Gamma,Alpha,0.0,6402,2,12192,similarity
5,4,B950,C1350, Beta,Gamma,0.0,7763,2,12192,similarity
6,4,B950,B550, Beta,Beta,6.0,7409,2,12192,similarity
7,4,B950,B850, Beta,Beta,6.0,2476,2,12192,similarity
8,4,B950,B650, Beta,Beta,6.0,984,2,12192,similarity
9,4,B950,B750, Beta,Beta,6.0,957,2,12192,similarity
10,4,B950,C1250, Beta,Gamma,0.0,4446,2,12192,similarity
11,4,B950,A250, Beta,Alpha,0.0,4994,2,12192,similarity
12,4,B950,A450, Beta,Alpha,0.0,13905,2,12192,similarity
13,4,B950,A350, Beta,Alpha,0.0,2505,2,12192,similarity
14,4,B950,A50, Beta,Alpha,0.0,1709,2,12192,similarity
6,5,C1350,B550,Gamma,Beta,0.0,2677,2,12192,similarity
7,5,C1350,B850,Gamma,Beta,0.0,1956,2,12192,similarity
8,5,C1350,B650,Gamma,Beta,0.0,2890,2,12192,similarity
9,5,C1350,B750,Gamma,Beta,0.0,7134,2,12192,similarity
10,5,C1350,C1250,Gamma,Gamma,6.0,8199,2,12192,similarity
11,5,C1350,A250,Gamma,Alpha,0.0,2226,2,12192,similarity
12,5,C1350,A450,Gamma,Alpha,0.0,4089,2,12192,similarity
13,5,C1350,A350,Gamma,Alpha,0.0,4588,2,12192,similarity
14,5,C1350,A50,Gamma,Alpha,0.0,810,2,12192,similarity
7,6,B550,B850,Beta,Beta,6.0,7088,2,12192,similarity
8,6,B550,B650,Beta,Beta,6.0,1412,2,12192,similarity
9,6,B550,B750,Beta,Beta,6.0,1130,2,12192,similarity
10,6,B550,C1250,Beta,Gamma,0.0,3052,2,12192,similarity
11,6,B550,A250,Beta,Alpha,0.0,5152,2,12192,similarity
12,6,B550,A450,Beta,Alpha,0.0,8127,2,12192,similarity
13,6,B550,A350,Beta,Alpha,0.0,5521,2,12192,similarity
14,6,B550,A50,Beta,Alpha,0.0,6305,2,12192,similarity
8,7,B850,B650,Beta,Beta,6.0,3129,2,12192,similarity
9,7,B850,B750,Beta,Beta,6.0,1993,2,12192,similarity
10,7,B850,C1250,Beta,Gamma,0.0,18435,2,12192,similarity
11,7,B850,A250,Beta,Alpha,0.0,2625,2,12192,similarity
12,7,B850,A450,Beta,Alpha,6.0,3216,2,12192,similarity
13,7,B850,A350,Beta,Alpha,0.0,14119,2,12192,similarity
14,7,B850,A50,Beta,Alpha,0.0,1364,2,12192,similarity
9,8,B650,B750,Beta,Beta,6.0,9437,2,12192,similarity
10,8,B650,C1250,Beta,Gamma,0.0,3945,2,12192,similarity
11,8,B650,A250,Beta,Alpha,0.0,3296,2,12192,similarity
12,8,B650,A450,Beta,Alpha,6.0,4083,2,12192,similarity
13,8,B650,A350,Beta,Alpha,0.0,2863,2,12192,similarity
14,8,B650,A50,Beta,Alpha,0.0,1778,2,12192,similarity
10,9,B750,C1250,Beta,Gamma,0.0,2882,2,12192,similarity
11,9,B750,A250,Beta,Alpha,0.0,3013,2,12192,similarity
12,9,B750,A450,Beta,Alpha,6.0,2867,2,12192,similarity
13,9,B750,A350,Beta,Alpha,0.0,2375,2,12192,similarity
14,9,B750,A50,Beta,Alpha,0.0,1555,2,12192,similarity
11,10,C1250,A250,Gamma,Alpha,0.0,1978,2,12192,similarity
12,10,C1250,A450,Gamma,Alpha,0.0,5735,2,12192,similarity
13,10,C1250,A350,Gamma,Alpha,0.0,4305,2,12192,similarity
14,10,C1250,A50,Gamma,Alpha,0.0,1499,2,12192,similarity
12,11,A250,A450,Alpha,Alpha,6.0,5529,2,12192,similarity
13,11,A250,A350,Alpha,Alpha,6.0,1298,2,12192,similarity
14,11,A250,A50,Alpha,Alpha,6.0,1097,2,12192,similarity
13,12,A450,A350,Alpha,Alpha,6.0,30325,2,12192,similarity
14,12,A450,A50,Alpha,Alpha,6.0,2383,2,12192,similarity
14,13,A350,A50,Alpha,Alpha,6.0,958,2,12192,similarity
1,0,B550,A350,Alpha,Alpha,3.0,3030,2,12197,similarity
2,0,B550,C1350,Beta,Gamma,3.0,583,2,12197,similarity
3,0,B550,A250,Beta,Alpha,3.0,558,2,12197,similarity
4,0,B550,A450,Beta,Alpha,3.0,825,2,12197,similarity
5,0,B550,B950,Beta, Beta,3.0,479,2,12197,similarity
6,0,B550,B750,Beta,Beta,3.0,404,2,12197,similarity
7,0,B550,C1050,Beta,Gamma,3.0,331,2,12197,similarity
8,0,B550,C1450,Beta,Gamma,3.0,389,2,12197,similarity
9,0,B550,B650,Beta,Beta,3.0,531,2,12197,similarity
10,0,B550,A150,Beta,Alpha,3.0,735,2,12197,similarity
11,0,B550,C1250,Beta,Gamma,3.0,656,2,12197,similarity
12,0,B550,C1150,Beta,Gamma,3.0,507,2,12197,similarity
13,0,B550,A50,Beta,Alpha,3.0,471,2,12197,similarity
14,0,B550,B850,Beta,Beta,3.0,244,2,12197,similarity
2,1,A350,C1350,Alpha,Gamma,3.0,139,2,12197,similarity
3,1,A350,A250,Alpha,Alpha,3.0,388,2,12197,similarity
4,1,A350,A450,Alpha,Alpha,3.0,282,2,12197,similarity
5,1,A350,B950,Alpha, Beta,3.0,353,2,12197,similarity
6,1,A350,B750,Alpha,Beta,3.0,450,2,12197,similarity
7,1,A350,C1050,Alpha,Gamma,3.0,279,2,12197,similarity
8,1,A350,C1450,Alpha,Gamma,3.0,362,2,12197,similarity
9,1,A350,B650,Alpha,Beta,3.0,394,2,12197,similarity
10,1,A350,A150,Alpha,Alpha,3.0,196,2,12197,similarity
11,1,A350,C1250,Alpha,Gamma,3.0,387,2,12197,similarity
12,1,A350,C1150,Alpha,Gamma,3.0,387,2,12197,similarity
13,1,A350,A50,Alpha,Alpha,3.0,412,2,12197,similarity
14,1,A350,B850,Alpha,Beta,3.0,467,2,12197,similarity
3,2,C1350,A250,Gamma,Alpha,3.0,192,2,12197,similarity
4,2,C1350,A450,Gamma,Alpha,3.0,278,2,12197,similarity
5,2,C1350,B950,Gamma, Beta,3.0,258,2,12197,similarity
6,2,C1350,B750,Gamma,Beta,3.0,264,2,12197,similarity
7,2,C1350,C1050,Gamma,Gamma,3.0,213,2,12197,similarity
8,2,C1350,C1450,Gamma,Gamma,3.0,1315,2,12197,similarity
9,2,C1350,B650,Gamma,Beta,3.0,684,2,12197,similarity
10,2,C1350,A150,Gamma,Alpha,3.0,562,2,12197,similarity
11,2,C1350,C1250,Gamma,Gamma,3.0,682,2,12197,similarity
12,2,C1350,C1150,Gamma,Gamma,3.0,438,2,12197,similarity
13,2,C1350,A50,Gamma,Alpha,3.0,467,2,12197,similarity
14,2,C1350,B850,Gamma,Beta,3.0,240,2,12197,similarity
4,3,A250,A450,Alpha,Alpha,3.0,200,2,12197,similarity
5,3,A250,B950,Alpha, Beta,3.0,502,2,12197,similarity
6,3,A250,B750,Alpha,Beta,3.0,508,2,12197,similarity
7,3,A250,C1050,Alpha,Gamma,3.0,356,2,12197,similarity
8,3,A250,C1450,Alpha,Gamma,3.0,277,2,12197,similarity
9,3,A250,B650,Alpha,Beta,3.0,209,2,12197,similarity
10,3,A250,A150,Alpha,Alpha,3.0,215,2,12197,similarity
11,3,A250,C1250,Alpha,Gamma,3.0,182,2,12197,similarity
12,3,A250,C1150,Alpha,Gamma,3.0,199,2,12197,similarity
13,3,A250,A50,Alpha,Alpha,3.0,175,2,12197,similarity
14,3,A250,B850,Alpha,Beta,3.0,239,2,12197,similarity
5,4,A450,B950,Alpha, Beta,3.0,205,2,12197,similarity
6,4,A450,B750,Alpha,Beta,3.0,244,2,12197,similarity
7,4,A450,C1050,Alpha,Gamma,3.0,234,2,12197,similarity
8,4,A450,C1450,Alpha,Gamma,3.0,224,2,12197,similarity
9,4,A450,B650,Alpha,Beta,3.0,237,2,12197,similarity
10,4,A450,A150,Alpha,Alpha,3.0,268,2,12197,similarity
11,4,A450,C1250,Alpha,Gamma,3.0,225,2,12197,similarity
12,4,A450,C1150,Alpha,Gamma,3.0,271,2,12197,similarity
13,4,A450,A50,Alpha,Alpha,3.0,188,2,12197,similarity
14,4,A450,B850,Alpha,Beta,3.0,348,2,12197,similarity
6,5,B950,B750, Beta,Beta,3.0,253,2,12197,similarity
7,5,B950,C1050, Beta,Gamma,3.0,272,2,12197,similarity
8,5,B950,C1450, Beta,Gamma,3.0,244,2,12197,similarity
9,5,B950,B650, Beta,Beta,3.0,269,2,12197,similarity
10,5,B950,A150, Beta,Alpha,3.0,231,2,12197,similarity
11,5,B950,C1250, Beta,Gamma,3.0,262,2,12197,similarity
12,5,B950,C1150, Beta,Gamma,3.0,259,2,12197,similarity
13,5,B950,A50, Beta,Alpha,3.0,296,2,12197,similarity
14,5,B950,B850, Beta,Beta,3.0,252,2,12197,similarity
7,6,B750,C1050,Beta,Gamma,3.0,279,2,12197,similarity
8,6,B750,C1450,Beta,Gamma,3.0,252,2,12197,similarity
9,6,B750,B650,Beta,Beta,3.0,265,2,12197,similarity
10,6,B750,A150,Beta,Alpha,3.0,246,2,12197,similarity
11,6,B750,C1250,Beta,Gamma,3.0,260,2,12197,similarity
12,6,B750,C1150,Beta,Gamma,3.0,270,2,12197,similarity
13,6,B750,A50,Beta,Alpha,3.0,292,2,12197,similarity
14,6,B750,B850,Beta,Beta,3.0,296,2,12197,similarity
8,7,C1050,C1450,Gamma,Gamma,3.0,264,2,12197,similarity
9,7,C1050,B650,Gamma,Beta,3.0,234,2,12197,similarity
10,7,C1050,A150,Gamma,Alpha,3.0,311,2,12197,similarity
11,7,C1050,C1250,Gamma,Gamma,3.0,266,2,12197,similarity
12,7,C1050,C1150,Gamma,Gamma,3.0,294,2,12197,similarity
13,7,C1050,A50,Gamma,Alpha,3.0,314,2,12197,similarity
14,7,C1050,B850,Gamma,Beta,3.0,309,2,12197,similarity
9,8,C1450,B650,Gamma,Beta,3.0,286,2,12197,similarity
10,8,C1450,A150,Gamma,Alpha,3.0,292,2,12197,similarity
11,8,C1450,C1250,Gamma,Gamma,3.0,287,2,12197,similarity
12,8,C1450,C1150,Gamma,Gamma,3.0,259,2,12197,similarity
13,8,C1450,A50,Gamma,Alpha,3.0,256,2,12197,similarity
14,8,C1450,B850,Gamma,Beta,3.0,269,2,12197,similarity
10,9,B650,A150,Beta,Alpha,3.0,264,2,12197,similarity
11,9,B650,C1250,Beta,Gamma,3.0,255,2,12197,similarity
12,9,B650,C1150,Beta,Gamma,3.0,258,2,12197,similarity
13,9,B650,A50,Beta,Alpha,3.0,296,2,12197,similarity
14,9,B650,B850,Beta,Beta,3.0,274,2,12197,similarity
11,10,A150,C1250,Alpha,Gamma,3.0,290,2,12197,similarity
12,10,A150,C1150,Alpha,Gamma,3.0,269,2,12197,similarity
13,10,A150,A50,Alpha,Alpha,3.0,257,2,12197,similarity
14,10,A150,B850,Alpha,Beta,3.0,287,2,12197,similarity
12,11,C1250,C1150,Gamma,Gamma,3.0,267,2,12197,similarity
13,11,C1250,A50,Gamma,Alpha,3.0,270,2,12197,similarity
