trial,block,stimId1,stimID2,category1,category2,response,rt,condition,id
2,1,A450,A150,Alpha,Alpha,2.0,5083,1,12374
3,1,A450,B550,Alpha,Beta,4.0,4186,1,12374
4,1,A450,T500,Alpha,Beta,5.0,8439,1,12374
5,1,A450,C1250,Alpha,Gamma,0.0,3315,1,12374
6,1,A450,A50,Alpha,Alpha,0.0,2506,1,12374
7,1,A450,A250,Alpha,Alpha,2.0,4330,1,12374
8,1,A450,A350,Alpha,Alpha,4.0,2333,1,12374
9,1,A450,T1000,Alpha,Gamma,2.0,2165,1,12374
10,1,A450,B650,Alpha,Beta,4.0,3318,1,12374
11,1,A450,B850,Alpha, Beta,0.9999999999999998,3635,1,12374
12,1,A450,B950,Alpha,Gamma,0.9999999999999998,2250,1,12374
13,1,A450,C1150,Alpha,Gamma,0.0,2721,1,12374
14,1,A450,B750,Alpha,Beta,0.9999999999999998,3562,1,12374
3,2,A150,B550,Alpha,Beta,0.0,2555,1,12374
4,2,A150,T500,Alpha,Beta,0.0,1037,1,12374
5,2,A150,C1250,Alpha,Gamma,0.0,1144,1,12374
6,2,A150,A50,Alpha,Alpha,2.0,4074,1,12374
7,2,A150,A250,Alpha,Alpha,4.0,3477,1,12374
8,2,A150,A350,Alpha,Alpha,0.9999999999999998,5939,1,12374
9,2,A150,T1000,Alpha,Gamma,0.0,2488,1,12374
10,2,A150,B650,Alpha,Beta,0.0,643,1,12374
11,2,A150,B850,Alpha, Beta,0.0,525,1,12374
12,2,A150,B950,Alpha,Gamma,0.0,892,1,12374
13,2,A150,C1150,Alpha,Gamma,0.0,1207,1,12374
14,2,A150,B750,Alpha,Beta,0.0,855,1,12374
4,3,B550,T500,Beta,Beta,6.0,3796,1,12374
5,3,B550,C1250,Beta,Gamma,0.0,6610,1,12374
6,3,B550,A50,Beta,Alpha,0.0,1129,1,12374
7,3,B550,A250,Beta,Alpha,0.0,4712,1,12374
8,3,B550,A350,Beta,Alpha,0.9999999999999998,4263,1,12374
9,3,B550,T1000,Beta,Gamma,0.9999999999999998,2528,1,12374
10,3,B550,B650,Beta,Beta,6.0,5546,1,12374
11,3,B550,B850,Beta, Beta,5.0,3848,1,12374
12,3,B550,B950,Beta,Gamma,3.0,3003,1,12374
13,3,B550,C1150,Beta,Gamma,0.0,4379,1,12374
14,3,B550,B750,Beta,Beta,3.0,6513,1,12374
5,4,T500,C1250,Beta,Gamma,0.0,2340,1,12374
6,4,T500,A50,Beta,Alpha,0.0,1442,1,12374
7,4,T500,A250,Beta,Alpha,0.0,2210,1,12374
8,4,T500,A350,Beta,Alpha,2.0,3422,1,12374
9,4,T500,T1000,Beta,Gamma,0.9999999999999998,3100,1,12374
10,4,T500,B650,Beta,Beta,5.0,5194,1,12374
11,4,T500,B850,Beta, Beta,0.9999999999999998,3958,1,12374
12,4,T500,B950,Beta,Gamma,0.9999999999999998,1619,1,12374
13,4,T500,C1150,Beta,Gamma,0.9999999999999998,760,1,12374
14,4,T500,B750,Beta,Beta,0.9999999999999998,2287,1,12374
6,5,C1250,A50,Gamma,Alpha,0.0,2156,1,12374
7,5,C1250,A250,Gamma,Alpha,0.0,777,1,12374
8,5,C1250,A350,Gamma,Alpha,0.0,690,1,12374
9,5,C1250,T1000,Gamma,Gamma,5.0,3057,1,12374
10,5,C1250,B650,Gamma,Beta,3.0,3028,1,12374
11,5,C1250,B850,Gamma, Beta,3.0,607,1,12374
12,5,C1250,B950,Gamma,Gamma,3.0,664,1,12374
13,5,C1250,C1150,Gamma,Gamma,6.0,2884,1,12374
14,5,C1250,B750,Gamma,Beta,2.0,5270,1,12374
7,6,A50,A250,Alpha,Alpha,0.9999999999999998,2835,1,12374
8,6,A50,A350,Alpha,Alpha,0.9999999999999998,1323,1,12374
9,6,A50,T1000,Alpha,Gamma,0.0,1929,1,12374
10,6,A50,B650,Alpha,Beta,0.0,499,1,12374
11,6,A50,B850,Alpha, Beta,0.0,511,1,12374
12,6,A50,B950,Alpha,Gamma,0.0,714,1,12374
13,6,A50,C1150,Alpha,Gamma,0.0,466,1,12374
14,6,A50,B750,Alpha,Beta,0.0,603,1,12374
8,7,A250,A350,Alpha,Alpha,6.0,5094,1,12374
9,7,A250,T1000,Alpha,Gamma,0.0,4218,1,12374
10,7,A250,B650,Alpha,Beta,0.0,1622,1,12374
11,7,A250,B850,Alpha, Beta,0.0,580,1,12374
12,7,A250,B950,Alpha,Gamma,0.0,504,1,12374
13,7,A250,C1150,Alpha,Gamma,0.0,529,1,12374
14,7,A250,B750,Alpha,Beta,0.0,596,1,12374
9,8,A350,T1000,Alpha,Gamma,0.0,650,1,12374
10,8,A350,B650,Alpha,Beta,0.0,1513,1,12374
11,8,A350,B850,Alpha, Beta,0.0,1034,1,12374
12,8,A350,B950,Alpha,Gamma,0.0,627,1,12374
13,8,A350,C1150,Alpha,Gamma,0.0,646,1,12374
14,8,A350,B750,Alpha,Beta,0.0,523,1,12374
10,9,T1000,B650,Gamma,Beta,5.0,3342,1,12374
11,9,T1000,B850,Gamma, Beta,6.0,2053,1,12374
12,9,T1000,B950,Gamma,Gamma,6.0,1562,1,12374
13,9,T1000,C1150,Gamma,Gamma,6.0,971,1,12374
14,9,T1000,B750,Gamma,Beta,4.0,2732,1,12374
11,10,B650,B850,Beta, Beta,5.0,3162,1,12374
12,10,B650,B950,Beta,Gamma,2.0,7554,1,12374
13,10,B650,C1150,Beta,Gamma,0.9999999999999998,2836,1,12374
14,10,B650,B750,Beta,Beta,5.0,3242,1,12374
12,11,B850,B950, Beta,Gamma,6.0,2394,1,12374
13,11,B850,C1150, Beta,Gamma,2.0,3072,1,12374
14,11,B850,B750, Beta,Beta,6.0,2434,1,12374
13,12,B950,C1150,Gamma,Gamma,5.0,3057,1,12374
14,12,B950,B750,Gamma,Beta,5.0,1269,1,12374
14,13,C1150,B750,Gamma,Beta,3.0,2353,1,12374
1,0,B850,C1050,Gamma,Gamma,6.0,12434,1,12353
2,0,B850,A450, Beta,Alpha,4.0,11200,1,12353
3,0,B850,B950, Beta,Gamma,5.0,6171,1,12353
4,0,B850,A350, Beta,Alpha,0.9999999999999998,5429,1,12353
5,0,B850,B750, Beta,Beta,5.0,3981,1,12353
6,0,B850,B650, Beta,Beta,4.0,4234,1,12353
7,0,B850,A50, Beta,Alpha,0.0,2538,1,12353
8,0,B850,T500, Beta,Beta,3.0,2773,1,12353
9,0,B850,A250, Beta,Alpha,0.9999999999999998,4764,1,12353
10,0,B850,C1150, Beta,Gamma,4.0,2585,1,12353
11,0,B850,C1250, Beta,Gamma,4.0,4131,1,12353
12,0,B850,B550, Beta,Beta,3.0,2613,1,12353
13,0,B850,T1000, Beta,Gamma,5.0,3772,1,12353
14,0,B850,A150, Beta,Alpha,0.0,3166,1,12353
2,1,C1050,A450,Gamma,Alpha,3.0,7451,1,12353
3,1,C1050,B950,Gamma,Gamma,6.0,2548,1,12353
4,1,C1050,A350,Gamma,Alpha,0.9999999999999998,3707,1,12353
5,1,C1050,B750,Gamma,Beta,4.0,3167,1,12353
6,1,C1050,B650,Gamma,Beta,4.0,2025,1,12353
7,1,C1050,A50,Gamma,Alpha,0.0,2308,1,12353
8,1,C1050,T500,Gamma,Beta,3.0,5941,1,12353
9,1,C1050,A250,Gamma,Alpha,2.0,1896,1,12353
10,1,C1050,C1150,Gamma,Gamma,6.0,3061,1,12353
11,1,C1050,C1250,Gamma,Gamma,6.0,1919,1,12353
12,1,C1050,B550,Gamma,Beta,2.0,7395,1,12353
13,1,C1050,T1000,Gamma,Gamma,6.0,3636,1,12353
14,1,C1050,A150,Gamma,Alpha,0.0,2797,1,12353
3,2,A450,B950,Alpha,Gamma,4.0,7699,1,12353
4,2,A450,A350,Alpha,Alpha,6.0,4066,1,12353
5,2,A450,B750,Alpha,Beta,5.0,3175,1,12353
6,2,A450,B650,Alpha,Beta,5.0,1200,1,12353
7,2,A450,A50,Alpha,Alpha,0.9999999999999998,3194,1,12353
8,2,A450,T500,Alpha,Beta,6.0,2338,1,12353
9,2,A450,A250,Alpha,Alpha,5.0,3447,1,12353
10,2,A450,C1150,Alpha,Gamma,0.0,2490,1,12353
11,2,A450,C1250,Alpha,Gamma,0.0,940,1,12353
12,2,A450,B550,Alpha,Beta,5.0,3193,1,12353
13,2,A450,T1000,Alpha,Gamma,3.0,4797,1,12353
14,2,A450,A150,Alpha,Alpha,2.0,4291,1,12353
4,3,B950,A350,Gamma,Alpha,2.0,11253,1,12353
5,3,B950,B750,Gamma,Beta,5.0,4251,1,12353
6,3,B950,B650,Gamma,Beta,5.0,1171,1,12353
7,3,B950,A50,Gamma,Alpha,0.0,10741,1,12353
8,3,B950,T500,Gamma,Beta,2.0,1963,1,12353
9,3,B950,A250,Gamma,Alpha,2.0,2027,1,12353
10,3,B950,C1150,Gamma,Gamma,6.0,2064,1,12353
11,3,B950,C1250,Gamma,Gamma,6.0,669,1,12353
12,3,B950,B550,Gamma,Beta,4.0,3410,1,12353
13,3,B950,T1000,Gamma,Gamma,6.0,2887,1,12353
14,3,B950,A150,Gamma,Alpha,0.0,8610,1,12353
5,4,A350,B750,Alpha,Beta,3.0,3137,1,12353
6,4,A350,B650,Alpha,Beta,3.0,1000,1,12353
7,4,A350,A50,Alpha,Alpha,0.0,2655,1,12353
8,4,A350,T500,Alpha,Beta,6.0,3693,1,12353
9,4,A350,A250,Alpha,Alpha,5.0,3006,1,12353
10,4,A350,C1150,Alpha,Gamma,0.0,2912,1,12353
11,4,A350,C1250,Alpha,Gamma,0.0,10494,1,12353
12,4,A350,B550,Alpha,Beta,5.0,2159,1,12353
13,4,A350,T1000,Alpha,Gamma,2.0,2191,1,12353
14,4,A350,A150,Alpha,Alpha,3.0,5231,1,12353
6,5,B750,B650,Beta,Beta,5.0,1811,1,12353
7,5,B750,A50,Beta,Alpha,0.0,2418,1,12353
8,5,B750,T500,Beta,Beta,5.0,3555,1,12353
9,5,B750,A250,Beta,Alpha,3.0,2342,1,12353
10,5,B750,C1150,Beta,Gamma,6.0,4148,1,12353
11,5,B750,C1250,Beta,Gamma,3.0,7020,1,12353
12,5,B750,B550,Beta,Beta,5.0,7673,1,12353
13,5,B750,T1000,Beta,Gamma,4.0,6539,1,12353
14,5,B750,A150,Beta,Alpha,0.9999999999999998,7666,1,12353
7,6,B650,A50,Beta,Alpha,0.9999999999999998,1254,1,12353
8,6,B650,T500,Beta,Beta,5.0,3929,1,12353
9,6,B650,A250,Beta,Alpha,2.0,9754,1,12353
10,6,B650,C1150,Beta,Gamma,4.0,2361,1,12353
11,6,B650,C1250,Beta,Gamma,3.0,3721,1,12353
12,6,B650,B550,Beta,Beta,5.0,2879,1,12353
13,6,B650,T1000,Beta,Gamma,4.0,2486,1,12353
14,6,B650,A150,Beta,Alpha,0.9999999999999998,2216,1,12353
8,7,A50,T500,Alpha,Beta,0.0,2711,1,12353
9,7,A50,A250,Alpha,Alpha,0.0,529,1,12353
10,7,A50,C1150,Alpha,Gamma,0.0,1020,1,12353
11,7,A50,C1250,Alpha,Gamma,0.0,552,1,12353
12,7,A50,B550,Alpha,Beta,0.0,819,1,12353
13,7,A50,T1000,Alpha,Gamma,0.0,744,1,12353
14,7,A50,A150,Alpha,Alpha,0.9999999999999998,2298,1,12353
9,8,T500,A250,Beta,Alpha,3.0,2424,1,12353
10,8,T500,C1150,Beta,Gamma,2.0,2344,1,12353
11,8,T500,C1250,Beta,Gamma,2.0,4173,1,12353
12,8,T500,B550,Beta,Beta,6.0,4005,1,12353
13,8,T500,T1000,Beta,Gamma,3.0,7146,1,12353
14,8,T500,A150,Beta,Alpha,4.0,3924,1,12353
10,9,A250,C1150,Alpha,Gamma,2.0,6578,1,12353
11,9,A250,C1250,Alpha,Gamma,0.9999999999999998,2252,1,12353
12,9,A250,B550,Alpha,Beta,5.0,3500,1,12353
13,9,A250,T1000,Alpha,Gamma,0.9999999999999998,4297,1,12353
14,9,A250,A150,Alpha,Alpha,5.0,2680,1,12353
11,10,C1150,C1250,Gamma,Gamma,6.0,2319,1,12353
12,10,C1150,B550,Gamma,Beta,4.0,4544,1,12353
13,10,C1150,T1000,Gamma,Gamma,5.0,2632,1,12353
14,10,C1150,A150,Gamma,Alpha,0.0,4229,1,12353
12,11,C1250,B550,Gamma,Beta,3.0,3091,1,12353
13,11,C1250,T1000,Gamma,Gamma,5.0,2050,1,12353
14,11,C1250,A150,Gamma,Alpha,0.0,2110,1,12353
13,12,B550,T1000,Beta,Gamma,3.0,2669,1,12353
14,12,B550,A150,Beta,Alpha,3.0,1426,1,12353
14,13,T1000,A150,Gamma,Alpha,3.0,1091,1,12353
1,0,A450,A250,Alpha,Alpha,0.9999999999999998,17207,1,12375
2,0,A450,C1150,Alpha,Gamma,0.0,5286,1,12375
3,0,A450,B650,Alpha,Beta,4.0,5432,1,12375
4,0,A450,C1250,Alpha,Gamma,0.9999999999999998,3964,1,12375
5,0,A450,T500,Alpha,Beta,5.0,4605,1,12375
6,0,A450,A350,Alpha,Alpha,5.0,4066,1,12375
7,0,A450,B550,Alpha,Beta,4.0,4438,1,12375
8,0,A450,B950,Alpha,Gamma,0.9999999999999998,6699,1,12375
9,0,A450,A50,Alpha,Alpha,0.0,4042,1,12375
10,0,A450,T1000,Alpha,Gamma,2.0,4418,1,12375
11,0,A450,C1050,Alpha,Gamma,2.0,2895,1,12375
12,0,A450,A150,Alpha,Alpha,0.9999999999999998,4088,1,12375
13,0,A450,B750,Alpha,Beta,3.0,3244,1,12375
14,0,A450,B850,Alpha, Beta,3.0,3256,1,12375
2,1,A250,C1150,Alpha,Gamma,0.0,4189,1,12375
3,1,A250,B650,Alpha,Beta,0.9999999999999998,4179,1,12375
4,1,A250,C1250,Alpha,Gamma,0.0,3178,1,12375
5,1,A250,T500,Alpha,Beta,5.0,4954,1,12375
6,1,A250,A350,Alpha,Alpha,5.0,2363,1,12375
7,1,A250,B550,Alpha,Beta,4.0,3875,1,12375
8,1,A250,B950,Alpha,Gamma,0.9999999999999998,10567,1,12375
9,1,A250,A50,Alpha,Alpha,0.9999999999999998,5972,1,12375
10,1,A250,T1000,Alpha,Gamma,2.0,6619,1,12375
11,1,A250,C1050,Alpha,Gamma,2.0,1736,1,12375
12,1,A250,A150,Alpha,Alpha,6.0,3032,1,12375
13,1,A250,B750,Alpha,Beta,3.0,3182,1,12375
14,1,A250,B850,Alpha, Beta,2.0,2212,1,12375
3,2,C1150,B650,Gamma,Beta,2.0,3315,1,12375
4,2,C1150,C1250,Gamma,Gamma,6.0,2467,1,12375
5,2,C1150,T500,Gamma,Beta,3.0,2792,1,12375
6,2,C1150,A350,Gamma,Alpha,3.0,2109,1,12375
7,2,C1150,B550,Gamma,Beta,3.0,2308,1,12375
8,2,C1150,B950,Gamma,Gamma,6.0,2980,1,12375
9,2,C1150,A50,Gamma,Alpha,0.0,4777,1,12375
10,2,C1150,T1000,Gamma,Gamma,5.0,4233,1,12375
11,2,C1150,C1050,Gamma,Gamma,5.0,3107,1,12375
12,2,C1150,A150,Gamma,Alpha,0.9999999999999998,3403,1,12375
13,2,C1150,B750,Gamma,Beta,5.0,3496,1,12375
14,2,C1150,B850,Gamma, Beta,5.0,1146,1,12375
4,3,B650,C1250,Beta,Gamma,3.0,4629,1,12375
5,3,B650,T500,Beta,Beta,6.0,3640,1,12375
6,3,B650,A350,Beta,Alpha,4.0,3222,1,12375
7,3,B650,B550,Beta,Beta,5.0,2388,1,12375
8,3,B650,B950,Beta,Gamma,5.0,1866,1,12375
9,3,B650,A50,Beta,Alpha,0.0,2806,1,12375
10,3,B650,T1000,Beta,Gamma,4.0,4700,1,12375
11,3,B650,C1050,Beta,Gamma,4.0,1079,1,12375
12,3,B650,A150,Beta,Alpha,0.0,4770,1,12375
13,3,B650,B750,Beta,Beta,5.0,4251,1,12375
14,3,B650,B850,Beta, Beta,5.0,1179,1,12375
5,4,C1250,T500,Gamma,Beta,0.9999999999999998,2580,1,12375
6,4,C1250,A350,Gamma,Alpha,0.9999999999999998,2715,1,12375
7,4,C1250,B550,Gamma,Beta,0.9999999999999998,888,1,12375
8,4,C1250,B950,Gamma,Gamma,5.0,3987,1,12375
9,4,C1250,A50,Gamma,Alpha,0.0,2243,1,12375
10,4,C1250,T1000,Gamma,Gamma,5.0,2715,1,12375
11,4,C1250,C1050,Gamma,Gamma,5.0,1378,1,12375
12,4,C1250,A150,Gamma,Alpha,0.9999999999999998,2570,1,12375
13,4,C1250,B750,Gamma,Beta,4.0,4259,1,12375
14,4,C1250,B850,Gamma, Beta,4.0,1685,1,12375
6,5,T500,A350,Beta,Alpha,5.0,7193,1,12375
7,5,T500,B550,Beta,Beta,6.0,2483,1,12375
8,5,T500,B950,Beta,Gamma,4.0,4011,1,12375
9,5,T500,A50,Beta,Alpha,0.0,4448,1,12375
10,5,T500,T1000,Beta,Gamma,4.0,2661,1,12375
11,5,T500,C1050,Beta,Gamma,4.0,867,1,12375
12,5,T500,A150,Beta,Alpha,0.9999999999999998,3539,1,12375
13,5,T500,B750,Beta,Beta,4.0,2686,1,12375
14,5,T500,B850,Beta, Beta,4.0,2227,1,12375
7,6,A350,B550,Alpha,Beta,5.0,2579,1,12375
8,6,A350,B950,Alpha,Gamma,0.9999999999999998,2567,1,12375
9,6,A350,A50,Alpha,Alpha,0.0,3384,1,12375
10,6,A350,T1000,Alpha,Gamma,2.0,3639,1,12375
11,6,A350,C1050,Alpha,Gamma,2.0,716,1,12375
12,6,A350,A150,Alpha,Alpha,6.0,2545,1,12375
13,6,A350,B750,Alpha,Beta,3.0,7192,1,12375
14,6,A350,B850,Alpha, Beta,3.0,1172,1,12375
8,7,B550,B950,Beta,Gamma,3.0,6756,1,12375
9,7,B550,A50,Beta,Alpha,0.0,2153,1,12375
10,7,B550,T1000,Beta,Gamma,5.0,2311,1,12375
11,7,B550,C1050,Beta,Gamma,4.0,2494,1,12375
12,7,B550,A150,Beta,Alpha,0.9999999999999998,2335,1,12375
13,7,B550,B750,Beta,Beta,5.0,3371,1,12375
14,7,B550,B850,Beta, Beta,5.0,770,1,12375
9,8,B950,A50,Gamma,Alpha,0.0,2433,1,12375
10,8,B950,T1000,Gamma,Gamma,6.0,2680,1,12375
11,8,B950,C1050,Gamma,Gamma,6.0,699,1,12375
12,8,B950,A150,Gamma,Alpha,0.9999999999999998,5847,1,12375
13,8,B950,B750,Gamma,Beta,6.0,6041,1,12375
14,8,B950,B850,Gamma, Beta,6.0,751,1,12375
10,9,A50,T1000,Alpha,Gamma,0.0,3640,1,12375
11,9,A50,C1050,Alpha,Gamma,0.0,646,1,12375
12,9,A50,A150,Alpha,Alpha,6.0,3528,1,12375
13,9,A50,B750,Alpha,Beta,0.0,17547,1,12375
14,9,A50,B850,Alpha, Beta,0.0,1478,1,12375
11,10,T1000,C1050,Gamma,Gamma,6.0,2709,1,12375
12,10,T1000,A150,Gamma,Alpha,2.0,2556,1,12375
13,10,T1000,B750,Gamma,Beta,4.0,4354,1,12375
14,10,T1000,B850,Gamma, Beta,4.0,1714,1,12375
12,11,C1050,A150,Gamma,Alpha,0.9999999999999998,3824,1,12375
13,11,C1050,B750,Gamma,Beta,4.0,3910,1,12375
14,11,C1050,B850,Gamma, Beta,4.0,1422,1,12375
13,12,A150,B750,Alpha,Beta,0.9999999999999998,2685,1,12375
14,12,A150,B850,Alpha, Beta,0.9999999999999998,544,1,12375
14,13,B750,B850,Beta, Beta,5.0,3921,1,12375
1,0,A450,B650,Beta,Beta,2.0,11657,1,12376
2,0,A450,T1000,Alpha,Gamma,0.9999999999999998,4457,1,12376
3,0,A450,B850,Alpha, Beta,0.9999999999999998,5452,1,12376
4,0,A450,C1050,Alpha,Gamma,0.0,3624,1,12376
5,0,A450,A50,Alpha,Alpha,0.0,4869,1,12376
6,0,A450,A150,Alpha,Alpha,0.9999999999999998,3530,1,12376
7,0,A450,C1250,Alpha,Gamma,0.0,8260,1,12376
8,0,A450,B750,Alpha,Beta,2.0,3557,1,12376
9,0,A450,A250,Alpha,Alpha,3.0,5526,1,12376
10,0,A450,C1150,Alpha,Gamma,2.0,3075,1,12376
11,0,A450,A350,Alpha,Alpha,4.0,4124,1,12376
12,0,A450,B550,Alpha,Beta,3.0,2229,1,12376
13,0,A450,B950,Alpha,Gamma,2.0,2059,1,12376
14,0,A450,T500,Alpha,Beta,6.0,4899,1,12376
2,1,B650,T1000,Beta,Gamma,4.0,3256,1,12376
3,1,B650,B850,Beta, Beta,4.0,3653,1,12376
4,1,B650,C1050,Beta,Gamma,3.0,2298,1,12376
5,1,B650,A50,Beta,Alpha,0.0,3244,1,12376
6,1,B650,A150,Beta,Alpha,0.0,2969,1,12376
7,1,B650,C1250,Beta,Gamma,2.0,4489,1,12376
8,1,B650,B750,Beta,Beta,4.0,2562,1,12376
9,1,B650,A250,Beta,Alpha,2.0,3427,1,12376
10,1,B650,C1150,Beta,Gamma,3.0,3910,1,12376
11,1,B650,A350,Beta,Alpha,4.0,2781,1,12376
12,1,B650,B550,Beta,Beta,5.0,3882,1,12376
13,1,B650,B950,Beta,Gamma,4.0,2629,1,12376
14,1,B650,T500,Beta,Beta,4.0,3103,1,12376
3,2,T1000,B850,Gamma, Beta,4.0,2250,1,12376
4,2,T1000,C1050,Gamma,Gamma,6.0,3321,1,12376
5,2,T1000,A50,Gamma,Alpha,0.0,3035,1,12376
6,2,T1000,A150,Gamma,Alpha,0.0,1744,1,12376
7,2,T1000,C1250,Gamma,Gamma,5.0,4385,1,12376
8,2,T1000,B750,Gamma,Beta,4.0,2267,1,12376
9,2,T1000,A250,Gamma,Alpha,0.9999999999999998,3665,1,12376
10,2,T1000,C1150,Gamma,Gamma,5.0,3763,1,12376
11,2,T1000,A350,Gamma,Alpha,0.9999999999999998,2953,1,12376
12,2,T1000,B550,Gamma,Beta,2.0,2743,1,12376
13,2,T1000,B950,Gamma,Gamma,5.0,3666,1,12376
14,2,T1000,T500,Gamma,Beta,4.0,2126,1,12376
4,3,B850,C1050, Beta,Gamma,4.0,2699,1,12376
5,3,B850,A50, Beta,Alpha,0.0,2787,1,12376
6,3,B850,A150, Beta,Alpha,0.0,2153,1,12376
7,3,B850,C1250, Beta,Gamma,5.0,3931,1,12376
8,3,B850,B750, Beta,Beta,6.0,4596,1,12376
9,3,B850,A250, Beta,Alpha,0.9999999999999998,4121,1,12376
10,3,B850,C1150, Beta,Gamma,5.0,3171,1,12376
11,3,B850,A350, Beta,Alpha,4.0,2602,1,12376
12,3,B850,B550, Beta,Beta,4.0,2883,1,12376
13,3,B850,B950, Beta,Gamma,5.0,2613,1,12376
14,3,B850,T500, Beta,Beta,3.0,2873,1,12376
5,4,C1050,A50,Gamma,Alpha,0.0,2228,1,12376
6,4,C1050,A150,Gamma,Alpha,0.0,3755,1,12376
7,4,C1050,C1250,Gamma,Gamma,5.0,4085,1,12376
8,4,C1050,B750,Gamma,Beta,4.0,2233,1,12376
9,4,C1050,A250,Gamma,Alpha,0.0,2544,1,12376
10,4,C1050,C1150,Gamma,Gamma,6.0,3116,1,12376
11,4,C1050,A350,Gamma,Alpha,0.9999999999999998,3051,1,12376
12,4,C1050,B550,Gamma,Beta,3.0,3599,1,12376
13,4,C1050,B950,Gamma,Gamma,5.0,4331,1,12376
14,4,C1050,T500,Gamma,Beta,4.0,1595,1,12376
6,5,A50,A150,Alpha,Alpha,3.0,4691,1,12376
7,5,A50,C1250,Alpha,Gamma,0.0,2687,1,12376
8,5,A50,B750,Alpha,Beta,0.0,1347,1,12376
9,5,A50,A250,Alpha,Alpha,0.9999999999999998,4650,1,12376
10,5,A50,C1150,Alpha,Gamma,0.0,2779,1,12376
11,5,A50,A350,Alpha,Alpha,0.0,2675,1,12376
12,5,A50,B550,Alpha,Beta,0.0,1260,1,12376
13,5,A50,B950,Alpha,Gamma,0.0,1433,1,12376
14,5,A50,T500,Alpha,Beta,0.0,1071,1,12376
7,6,A150,C1250,Alpha,Gamma,0.0,4220,1,12376
8,6,A150,B750,Alpha,Beta,0.9999999999999998,3362,1,12376
9,6,A150,A250,Alpha,Alpha,3.0,3547,1,12376
10,6,A150,C1150,Alpha,Gamma,0.0,3188,1,12376
11,6,A150,A350,Alpha,Alpha,2.0,2704,1,12376
12,6,A150,B550,Alpha,Beta,0.9999999999999998,2474,1,12376
13,6,A150,B950,Alpha,Gamma,0.0,2495,1,12376
14,6,A150,T500,Alpha,Beta,0.9999999999999998,2643,1,12376
8,7,C1250,B750,Gamma,Beta,3.0,2959,1,12376
9,7,C1250,A250,Gamma,Alpha,2.0,2447,1,12376
10,7,C1250,C1150,Gamma,Gamma,5.0,3553,1,12376
11,7,C1250,A350,Gamma,Alpha,3.0,2403,1,12376
12,7,C1250,B550,Gamma,Beta,4.0,5227,1,12376
13,7,C1250,B950,Gamma,Gamma,4.0,1976,1,12376
14,7,C1250,T500,Gamma,Beta,2.0,2665,1,12376
9,8,B750,A250,Beta,Alpha,2.0,2405,1,12376
10,8,B750,C1150,Beta,Gamma,4.0,4547,1,12376
11,8,B750,A350,Beta,Alpha,3.0,2674,1,12376
12,8,B750,B550,Beta,Beta,3.0,5367,1,12376
13,8,B750,B950,Beta,Gamma,4.0,2494,1,12376
14,8,B750,T500,Beta,Beta,4.0,2745,1,12376
10,9,A250,C1150,Alpha,Gamma,2.0,2049,1,12376
11,9,A250,A350,Alpha,Alpha,4.0,4600,1,12376
12,9,A250,B550,Alpha,Beta,3.0,2307,1,12376
13,9,A250,B950,Alpha,Gamma,2.0,1810,1,12376
14,9,A250,T500,Alpha,Beta,4.0,2701,1,12376
11,10,C1150,A350,Gamma,Alpha,0.9999999999999998,3545,1,12376
12,10,C1150,B550,Gamma,Beta,2.0,2752,1,12376
13,10,C1150,B950,Gamma,Gamma,4.0,2762,1,12376
14,10,C1150,T500,Gamma,Beta,3.0,2025,1,12376
12,11,A350,B550,Alpha,Beta,5.0,2778,1,12376
13,11,A350,B950,Alpha,Gamma,3.0,3175,1,12376
14,11,A350,T500,Alpha,Beta,4.0,2147,1,12376
13,12,B550,B950,Beta,Gamma,5.0,2643,1,12376
14,12,B550,T500,Beta,Beta,6.0,2850,1,12376
14,13,B950,T500,Gamma,Beta,4.0,2626,1,12376
1,0,A450,B850, Beta, Beta,0.9999999999999998,20087,1,12388
2,0,A450,C1050,Alpha,Gamma,0.0,2621,1,12388
3,0,A450,T500,Alpha,Beta,5.0,3372,1,12388
4,0,A450,A50,Alpha,Alpha,0.0,5418,1,12388
5,0,A450,A350,Alpha,Alpha,4.0,3440,1,12388
6,0,A450,C1250,Alpha,Gamma,0.0,2797,1,12388
7,0,A450,T1000,Alpha,Gamma,0.0,2028,1,12388
8,0,A450,A250,Alpha,Alpha,4.0,12183,1,12388
9,0,A450,C1150,Alpha,Gamma,0.0,2591,1,12388
10,0,A450,B750,Alpha,Beta,0.9999999999999998,4139,1,12388
11,0,A450,B550,Alpha,Beta,5.0,8175,1,12388
12,0,A450,A150,Alpha,Alpha,2.0,3157,1,12388
13,0,A450,B950,Alpha,Gamma,0.0,1925,1,12388
14,0,A450,B650,Alpha,Beta,4.0,14569,1,12388
2,1,B850,C1050, Beta,Gamma,5.0,2532,1,12388
3,1,B850,T500, Beta,Beta,0.9999999999999998,11500,1,12388
4,1,B850,A50, Beta,Alpha,0.0,2137,1,12388
5,1,B850,A350, Beta,Alpha,0.0,4789,1,12388
6,1,B850,C1250, Beta,Gamma,2.0,3077,1,12388
7,1,B850,T1000, Beta,Gamma,4.0,2771,1,12388
8,1,B850,A250, Beta,Alpha,0.0,4512,1,12388
9,1,B850,C1150, Beta,Gamma,4.0,4569,1,12388
10,1,B850,B750, Beta,Beta,5.0,1955,1,12388
11,1,B850,B550, Beta,Beta,4.0,1988,1,12388
12,1,B850,A150, Beta,Alpha,0.0,2892,1,12388
