stimId1,stimID2,count,mean,std,min,25%,50%,75%,max
A450,C1350,14.0,1.5714285714285714,1.2224996910042534,0.0,0.24999999999999994,2.0,2.75,3.0
A450,C1450,16.0,1.5625,1.0307764064044151,0.0,0.9999999999999998,1.5,2.0,4.0
A50,A150,17.0,3.588235294117647,1.697749375254331,0.0,3.0,4.0,5.0,6.0
A50,A250,14.0,3.142857142857143,1.561909228976012,0.9999999999999998,2.0,3.5,4.0,6.0
A50,A350,16.0,2.75,1.6532795690182993,0.0,2.0,3.0,4.0,6.0
A50,A450,16.0,1.8125,1.2763881332363862,0.0,0.9999999999999998,2.0,2.0,5.0
A50,B550,17.0,1.2941176470588236,1.1048023512348795,0.0,0.0,0.9999999999999998,2.0,4.0
A50,B650,17.0,0.7058823529411765,0.8488746876271653,0.0,0.0,0.0,0.9999999999999998,2.0
A50,B750,17.0,0.7058823529411765,0.7717436331412897,0.0,0.0,0.9999999999999998,0.9999999999999998,2.0
A50,B850,16.0,0.625,0.7187952884282609,0.0,0.0,0.4999999999999999,0.9999999999999998,2.0
A50,B950,13.0,0.6153846153846154,1.192927878405448,0.0,0.0,0.0,0.9999999999999998,4.0
A50,C1050,18.0,0.3888888888888888,0.50163132570455,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998
A50,C1150,16.0,0.24999999999999994,0.4472135954999578,0.0,0.0,0.0,0.24999999999999994,0.9999999999999998
A50,C1250,16.0,0.3125,1.0144785195688801,0.0,0.0,0.0,0.0,4.0
A50,C1350,14.0,0.21428571428571427,0.5789342235218394,0.0,0.0,0.0,0.0,2.0
A50,C1450,16.0,0.12499999999999997,0.34156502553198653,0.0,0.0,0.0,0.0,0.9999999999999998
B550,A150,11.0,1.7272727272727273,1.009049958219026,0.0,0.9999999999999998,2.0,2.5,3.0
B550,A250,13.0,3.076923076923077,1.1151635501529558,0.9999999999999998,2.0,3.0,4.0,5.0
B550,A350,15.0,3.933333333333333,0.9611501047232549,2.0,3.0,4.0,5.0,5.0
B550,A450,12.0,5.166666666666667,0.7177405625652734,4.0,5.0,5.0,6.0,6.0
B550,A50,14.0,0.3571428571428571,0.4972451580988468,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998
B550,B650,14.0,5.0,0.9607689228305228,3.0,4.25,5.0,6.0,6.0
B550,B750,13.0,4.153846153846154,1.5191090506254998,0.9999999999999998,4.0,5.0,5.0,6.0
B550,B850,14.0,4.142857142857143,0.7703288865196432,2.0,4.0,4.0,4.75,5.0
B550,B950,12.0,3.1666666666666665,1.337115846843043,0.9999999999999998,2.0,4.0,4.0,5.0
B550,C1050,16.0,2.625,1.2041594578792296,0.9999999999999998,1.75,3.0,3.0,5.0
B550,C1150,15.0,2.466666666666667,1.3020130933435712,0.9999999999999998,1.5,2.0,3.0,5.0
B550,C1250,12.0,2.0,1.1281521496355325,0.0,0.9999999999999998,2.0,3.0,4.0
B550,C1350,12.0,1.6666666666666667,0.984731927834662,0.0,0.9999999999999998,1.5,2.25,3.0
B550,C1450,14.0,1.2857142857142858,1.266647387553302,0.0,0.24999999999999994,0.9999999999999998,1.75,4.0
B650,A150,14.0,1.5714285714285714,1.0894095588038444,0.0,0.9999999999999998,1.5,2.0,4.0
B650,A250,12.0,2.5,1.3142574813455419,0.9999999999999998,0.9999999999999998,3.0,3.0,5.0
B650,A350,13.0,3.230769230769231,1.0919284281983377,2.0,2.0,3.0,4.0,5.0
B650,A450,16.0,4.0625,1.0626225419530053,0.9999999999999998,4.0,4.0,5.0,5.0
B650,A50,14.0,0.49999999999999994,0.6504436355879908,0.0,0.0,0.0,0.9999999999999998,2.0
B650,B550,17.0,5.117647058823529,0.8574929257125442,3.0,5.0,5.0,6.0,6.0
B650,B750,13.0,5.230769230769231,0.8320502943378436,3.0,5.0,5.0,6.0,6.0
B650,B850,14.0,4.071428571428571,0.8287419301647451,2.0,4.0,4.0,4.75,5.0
B650,B950,11.0,3.909090909090909,1.1361818036340359,2.0,4.0,4.0,4.0,6.0
B650,C1050,16.0,3.1875,1.1086778913041726,0.9999999999999998,3.0,3.0,4.0,5.0
