trial,block,stimId,category,response,rt,condition,id,phase
0,3,A450,Alpha,a,2486,2,12192,study
1,3,A350,Alpha,a,1017,2,12192,study
2,3,A50,Alpha,a,865,2,12192,study
3,3,A150,Alpha,a,1228,2,12192,study
4,3,A250,Alpha,a,1058,2,12192,study
0,4,A50,Alpha,a,954,2,12192,study
1,4,A450,Alpha,a,1433,2,12192,study
2,4,A350,Alpha,a,1281,2,12192,study
3,4,A150,Alpha,a,1084,2,12192,study
4,4,A250,Alpha,a,944,2,12192,study
0,0,A350,Alpha,a,6216,2,12134,study
1,0,A450,Alpha,a,3794,2,12134,study
2,0,A250,Alpha,a,1994,2,12134,study
3,0,A150,Alpha,a,2407,2,12134,study
4,0,A50,Alpha,a,1680,2,12134,study
0,1,A350,Alpha,a,2411,2,12134,study
1,1,A450,Alpha,a,1210,2,12134,study
2,1,A150,Alpha,a,1481,2,12134,study
3,1,A250,Alpha,a,2188,2,12134,study
4,1,A50,Alpha,a,1349,2,12134,study
0,2,A350,Alpha,a,1501,2,12134,study
1,2,A50,Alpha,a,957,2,12134,study
2,2,A450,Alpha,a,1730,2,12134,study
3,2,A250,Alpha,a,1348,2,12134,study
4,2,A150,Alpha,a,1093,2,12134,study
0,3,A150,Alpha,a,545,2,12134,study
1,3,A350,Alpha,a,1211,2,12134,study
2,3,A250,Alpha,a,2714,2,12134,study
3,3,A450,Alpha,a,795,2,12134,study
4,3,A50,Alpha,a,781,2,12134,study
0,4,A350,Alpha,a,692,2,12134,study
1,4,A50,Alpha,a,479,2,12134,study
2,4,A450,Alpha,a,636,2,12134,study
3,4,A150,Alpha,a,555,2,12134,study
4,4,A250,Alpha,a,1068,2,12134,study
0,0,A450,Alpha,a,5057,2,12194,study
1,0,A350,Alpha,a,2120,2,12194,study
2,0,A50,Alpha,a,2731,2,12194,study
3,0,A250,Alpha,a,2396,2,12194,study
4,0,A150,Alpha,a,1204,2,12194,study
0,1,A350,Alpha,a,943,2,12194,study
1,1,A250,Alpha,a,1267,2,12194,study
2,1,A450,Alpha,a,1071,2,12194,study
3,1,A50,Alpha,a,1005,2,12194,study
4,1,A150,Alpha,a,1012,2,12194,study
0,2,A150,Alpha,a,1170,2,12194,study
1,2,A450,Alpha,a,1220,2,12194,study
2,2,A350,Alpha,a,1544,2,12194,study
3,2,A250,Alpha,a,844,2,12194,study
4,2,A50,Alpha,a,741,2,12194,study
0,3,A350,Alpha,a,752,2,12194,study
1,3,A150,Alpha,a,643,2,12194,study
2,3,A50,Alpha,a,943,2,12194,study
3,3,A250,Alpha,a,1217,2,12194,study
4,3,A450,Alpha,a,912,2,12194,study
0,4,A350,Alpha,a,827,2,12194,study
1,4,A450,Alpha,a,1024,2,12194,study
2,4,A150,Alpha,a,824,2,12194,study
3,4,A250,Alpha,a,662,2,12194,study
4,4,A50,Alpha,a,811,2,12194,study
0,0,A450,Alpha,a,1848,2,12197,study
1,0,A150,Alpha,a,539,2,12197,study
2,0,A350,Alpha,a,2893,2,12197,study
3,0,A250,Alpha,a,2482,2,12197,study
4,0,A50,Alpha,a,1021,2,12197,study
0,1,A50,Alpha,a,644,2,12197,study
1,1,A450,Alpha,a,1576,2,12197,study
2,1,A250,Alpha,a,641,2,12197,study
3,1,A150,Alpha,a,559,2,12197,study
4,1,A350,Alpha,a,559,2,12197,study
0,2,A350,Alpha,a,465,2,12197,study
1,2,A250,Alpha,a,574,2,12197,study
2,2,A50,Alpha,a,495,2,12197,study
3,2,A150,Alpha,a,602,2,12197,study
4,2,A450,Alpha,a,410,2,12197,study
0,3,A150,Alpha,a,512,2,12197,study
1,3,A350,Alpha,a,404,2,12197,study
2,3,A450,Alpha,a,388,2,12197,study
3,3,A250,Alpha,a,682,2,12197,study
4,3,A50,Alpha,a,486,2,12197,study
0,4,A450,Alpha,a,458,2,12197,study
1,4,A250,Alpha,a,439,2,12197,study
2,4,A150,Alpha,a,382,2,12197,study
3,4,A350,Alpha,a,461,2,12197,study
4,4,A50,Alpha,a,338,2,12197,study
